,country,continent,population,total_deaths,total_cases,total_tests,recovered
150,Mongolia,Asia,3378078.0,2284.0,1011496,4030048.0,1009212.0
151,Nepal,Asia,30225582.0,12031.0,1003450,6047766.0,991322.0
152,Latvia,Europe,1848837.0,6715.0,982505,7885792.0,971406.0
153,Saudi-Arabia,Asia,35844909.0,9646.0,841469,45481735.0,
154,Paraguay,South-America,7305843.0,20155.0,837602,2657506.0,
155,Azerbaijan,Asia,10300205.0,10400.0,835234,7748050.0,824089.0
156,Bahrain,Asia,1783983.0,1574.0,729549,10948549.0,727915.0
157,Cyprus,Asia,1223387.0,1365.0,681110,9640118.0,679745.0
158,Dominican-Republic,North-America,11056370.0,4384.0,675890,3740928.0,671316.0
159,Sri-Lanka,Asia,21575842.0,16897.0,672754,6486117.0,655852.0
160,Kuwait,Asia,4380326.0,2570.0,667158,8455743.0,
161,Myanmar,Asia,55227143.0,19495.0,641873,11711514.0,620159.0
162,Moldova,Europe,4013171.0,12218.0,635145,3216305.0,
163,Estonia,Europe,1321910.0,3001.0,628070,6968103.0,
164,Palestine,Asia,5345541.0,5404.0,621008,3078533.0,615445.0
165,Libya,Africa,7040745.0,6437.0,507274,2483848.0,500835.0
166,Ethiopia,Africa,120812698.0,7574.0,501157,5565340.0,488171.0
167,R&eacute;union,Africa,908061.0,921.0,494595,1603660.0,
168,Honduras,North-America,10221247.0,11165.0,474590,1660662.0,
169,Armenia,Asia,2971966.0,8777.0,451831,3242901.0,435162.0
170,Bosnia-and-Herzegovina,Europe,3249317.0,16388.0,403615,1884721.0,379084.0
171,Oman,Asia,5323993.0,4628.0,399449,25000000.0,
172,Luxembourg,Europe,642371.0,1232.0,391232,4587145.0,
173,North-Macedonia,Europe,2081304.0,9976.0,350567,2226216.0,337068.0
174,Zambia,Africa,19470234.0,4069.0,349304,4112961.0,341316.0
175,DPRK,Asia,25990679.0,74.0,4772813,,4772739.0
176,Jordan,Asia,10300869.0,14122.0,1746997,17201885.0,1731007.0
177,South-Africa,Africa,60756135.0,102595.0,4076463,26795090.0,3912506.0
178,Kazakhstan,Asia,19205043.0,13848.0,1411831,11575012.0,1383020.0
179,Ukraine,Europe,43192122.0,112418.0,5557995,32603805.0,5445577.0
180,Australia,Oceania,26068792.0,24414.0,11853144,81916639.0,11820014.0
181,Vietnam,Asia,98953541.0,43206.0,11625195,85826548.0,10640971.0
182,Taiwan,Asia,23888595.0,19005.0,10241523,30742304.0,10222518.0
